Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login - Submit,,,,2022-01-04 09:46:18,2022-01-04 09:49:26,3m - 7.978s,PASSED
,,,,,,,
Test Cases/Deputi_Direktur/1. Login,,,,2022-01-04 09:46:19,2022-01-04 09:46:59,40.850s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-01-04 09:46:19,2022-01-04 09:46:19,0.004s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-01-04 09:46:19,2022-01-04 09:46:39,19.182s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - NIP""), findTestData(""Deputi_Direktur"").getObjectValue(""Username"", 1), 0)",,,,2022-01-04 09:46:39,2022-01-04 09:46:42,3.483s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - Password""), findTestData(""Deputi_Direktur"").getObjectValue(""Pass"", 1), 0)",,,,2022-01-04 09:46:42,2022-01-04 09:46:44,1.466s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.CheckBox - Remember Me""), 0)",,,,2022-01-04 09:46:44,2022-01-04 09:46:45,0.999s,PASSED
hideKeyboard(),,,,2022-01-04 09:46:45,2022-01-04 09:46:48,3.376s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-01-04 09:46:48,2022-01-04 09:46:51,3.094s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Login 2.1"" + "".png"", STOP_ON_FAILURE)",,,,2022-01-04 09:46:51,2022-01-04 09:46:53,2.399s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,2022-01-04 09:46:53,2022-01-04 09:46:54,0.997s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-01-04 09:46:54,2022-01-04 09:46:59,5.021s,PASSED
,,,,,,,
Test Cases/Deputi_Direktur/2. Form Survey,,,,2022-01-04 09:46:59,2022-01-04 09:49:26,2m - 26.563s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-01-04 09:47:00,2022-01-04 09:47:00,0.003s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-01-04 09:47:00,2022-01-04 09:47:12,11.032s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Form Survey 1"" + "".png"", STOP_ON_FAILURE)",,,,2022-01-04 09:47:12,2022-01-04 09:47:14,2.032s,PASSED
"tap(findTestObject(""Object Repository/Form Survey/android.widget.LinearLayout""), 0)",,,,2022-01-04 09:47:14,2022-01-04 09:47:14,0.904s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Form Survey 2"" + "".png"", STOP_ON_FAILURE)",,,,2022-01-04 09:47:14,2022-01-04 09:47:16,1.787s,PASSED
"setText(findTestObject(""Object Repository/Form Survey/android.widget.EditText - Mobile ID""), findTestData(""Deputi_Direktur"").getObjectValue(""MobileID"", 1), 0)",,,,2022-01-04 09:47:16,2022-01-04 09:47:18,1.939s,PASSED
"setText(findTestObject(""Object Repository/Form Survey/android.widget.EditText - Nama Konsumen""), findTestData(""Deputi_Direktur"").getObjectValue(""Nama"", 1), 0)",,,,2022-01-04 09:47:18,2022-01-04 09:47:20,2.194s,PASSED
"setText(findTestObject(""Object Repository/Form Survey/android.widget.EditText - No KTP""), findTestData(""Deputi_Direktur"").getObjectValue(""Ktp"", 1), 0)",,,,2022-01-04 09:47:20,2022-01-04 09:47:22,1.612s,PASSED
"setText(findTestObject(""Object Repository/Form Survey/android.widget.EditText - No HP""), findTestData(""Deputi_Direktur"").getObjectValue(""Hp"", 1), 0)",,,,2022-01-04 09:47:22,2022-01-04 09:47:24,2.053s,PASSED
"setText(findTestObject(""Object Repository/Form Survey/android.widget.EditText - No Telp""), findTestData(""Deputi_Direktur"").getObjectValue(""Tlp"", 1), 0)",,,,2022-01-04 09:47:24,2022-01-04 09:47:26,1.550s,PASSED
"setText(findTestObject(""Object Repository/Form Survey/android.widget.EditText - Tempat Lahir""), findTestData(""Deputi_Direktur"").getObjectValue(""Tempat Lahir"", 1), 0)",,,,2022-01-04 09:47:26,2022-01-04 09:47:28,2.025s,PASSED
