Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login - Checking,,,,2022-01-04 13:56:07,2022-01-04 13:58:43,2m - 36.289s,PASSED
,,,,,,,
Test Cases/Branch_Manager/1. Login,,,,2022-01-04 13:56:08,2022-01-04 13:57:01,53.140s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-01-04 13:56:10,2022-01-04 13:56:10,0.009s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-01-04 13:56:10,2022-01-04 13:56:37,27.166s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - NIP""), findTestData(""Branch_Manager"").getObjectValue(""Username"", 1), 0)",,,,2022-01-04 13:56:37,2022-01-04 13:56:41,4.130s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - Password""), findTestData(""Branch_Manager"").getObjectValue(""Pass"", 1), 0)",,,,2022-01-04 13:56:41,2022-01-04 13:56:43,1.974s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.CheckBox - Remember Me""), 0)",,,,2022-01-04 13:56:43,2022-01-04 13:56:44,1.212s,PASSED
hideKeyboard(),,,,2022-01-04 13:56:44,2022-01-04 13:56:48,3.932s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-01-04 13:56:48,2022-01-04 13:56:51,3.113s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""login 1.1"" + "".png"", STOP_ON_FAILURE)",,,,2022-01-04 13:56:51,2022-01-04 13:56:55,3.551s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,2022-01-04 13:56:55,2022-01-04 13:56:56,1.532s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-01-04 13:56:56,2022-01-04 13:57:01,5.014s,PASSED
,,,,,,,
Test Cases/Branch_Manager/2. History - SurveyKendaraan,,,,2022-01-04 13:57:01,2022-01-04 13:58:43,1m - 42.140s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-01-04 13:57:02,2022-01-04 13:57:02,0.001s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-01-04 13:57:02,2022-01-04 13:57:13,11.041s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-01-04 13:57:13,2022-01-04 13:57:16,3.013s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Survey Kendaraan 1"" + "".png"", STOP_ON_FAILURE)",,,,2022-01-04 13:57:16,2022-01-04 13:57:19,2.590s,PASSED
"tap(findTestObject(""Object Repository/History_SurveyKendaraan/android.widget.LinearLayout""), 0)",,,,2022-01-04 13:57:19,2022-01-04 13:57:20,0.885s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-01-04 13:57:20,2022-01-04 13:57:23,3.007s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Survey Kendaraan 2"" + "".png"", STOP_ON_FAILURE)",,,,2022-01-04 13:57:23,2022-01-04 13:57:25,2.187s,PASSED
"tap(findTestObject(""Object Repository/History_SurveyKendaraan/android.widget.LinearLayout (1)""), 0)",,,,2022-01-04 13:57:25,2022-01-04 13:57:26,0.721s,PASSED
