Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1.2 Login - Re Sumbit,,,,2022-02-21 11:01:28,2022-02-21 11:04:16,2m - 47.821s,PASSED
,,,,,,,
Test Cases/Branch_Manager/1. Login,,,,2022-02-21 11:01:29,2022-02-21 11:02:10,40.958s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-02-21 11:01:29,2022-02-21 11:01:30,0.004s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-02-21 11:01:30,2022-02-21 11:01:48,18.843s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - NIP""), findTestData(""Branch_Manager"").getObjectValue(""Username"", 2), 0)",,,,2022-02-21 11:01:48,2022-02-21 11:01:52,3.331s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - Password""), findTestData(""Branch_Manager"").getObjectValue(""Pass"", 2), 0)",,,,2022-02-21 11:01:52,2022-02-21 11:01:54,1.933s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.CheckBox - Remember Me""), 0)",,,,2022-02-21 11:01:54,2022-02-21 11:01:55,0.946s,PASSED
hideKeyboard(),,,,2022-02-21 11:01:55,2022-02-21 11:01:58,3.572s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 11:01:58,2022-02-21 11:02:01,3.085s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""login 1.1"" + "".png"", STOP_ON_FAILURE)",,,,2022-02-21 11:02:01,2022-02-21 11:02:04,2.302s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,2022-02-21 11:02:04,2022-02-21 11:02:05,1.104s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-02-21 11:02:05,2022-02-21 11:02:10,5.011s,PASSED
,,,,,,,
Test Cases/Branch_Manager/4. Re-Submit,,,,2022-02-21 11:02:10,2022-02-21 11:04:16,2m - 6.175s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-02-21 11:02:10,2022-02-21 11:02:10,0.001s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-02-21 11:02:10,2022-02-21 11:02:21,10.647s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 11:02:21,2022-02-21 11:02:24,3.004s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Survey Kendaraan 4.1"" + "".png"", STOP_ON_FAILURE)",,,,2022-02-21 11:02:24,2022-02-21 11:02:26,1.901s,PASSED
"tap(findTestObject(""Object Repository/Submit/android.widget.LinearLayout""), 0)",,,,2022-02-21 11:02:26,2022-02-21 11:02:28,1.840s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 11:02:28,2022-02-21 11:02:31,3.010s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Survey Kendaraan 4.2"" + "".png"", STOP_ON_FAILURE)",,,,2022-02-21 11:02:31,2022-02-21 11:02:33,1.825s,PASSED
