Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login - Checking,,,,2022-02-21 14:29:38,2022-02-21 14:32:09,2m - 30.836s,PASSED
,,,,,,,
Test Cases/Regio_Manager/1. Login,,,,2022-02-21 14:29:38,2022-02-21 14:30:22,43.950s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-02-21 14:29:39,2022-02-21 14:29:39,0.005s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-02-21 14:29:39,2022-02-21 14:30:00,20.884s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - NIP""), findTestData(""Regio_Manager"").getObjectValue(""Username"", 1), 0)",,,,2022-02-21 14:30:00,2022-02-21 14:30:05,4.694s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - Password""), findTestData(""Regio_Manager"").getObjectValue(""Pass"", 1), 0)",,,,2022-02-21 14:30:05,2022-02-21 14:30:06,1.501s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.CheckBox - Remember Me""), 0)",,,,2022-02-21 14:30:06,2022-02-21 14:30:08,1.287s,PASSED
hideKeyboard(),,,,2022-02-21 14:30:08,2022-02-21 14:30:11,3.652s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 14:30:11,2022-02-21 14:30:14,3.100s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Login 3.1"" + "".png"", STOP_ON_FAILURE)",,,,2022-02-21 14:30:14,2022-02-21 14:30:18,3.473s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,2022-02-21 14:30:18,2022-02-21 14:30:19,1.425s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 14:30:19,2022-02-21 14:30:22,3.012s,PASSED
,,,,,,,
