Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1.4 Login - Checking History,,,,2022-02-21 15:27:51,2022-02-21 15:30:34,2m - 42.936s,PASSED
,,,,,,,
Test Cases/Branch_Manager/1. Login,,,,2022-02-21 15:27:52,2022-02-21 15:28:34,42.739s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-02-21 15:27:53,2022-02-21 15:27:53,0.005s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-02-21 15:27:53,2022-02-21 15:28:13,20.136s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - NIP""), findTestData(""Branch_Manager"").getObjectValue(""Username"", 2), 0)",,,,2022-02-21 15:28:13,2022-02-21 15:28:16,3.085s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - Password""), findTestData(""Branch_Manager"").getObjectValue(""Pass"", 2), 0)",,,,2022-02-21 15:28:16,2022-02-21 15:28:18,1.951s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.CheckBox - Remember Me""), 0)",,,,2022-02-21 15:28:18,2022-02-21 15:28:19,1.031s,PASSED
hideKeyboard(),,,,2022-02-21 15:28:19,2022-02-21 15:28:22,3.517s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 15:28:22,2022-02-21 15:28:25,3.077s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""login 1.1"" + "".png"", STOP_ON_FAILURE)",,,,2022-02-21 15:28:25,2022-02-21 15:28:28,3.064s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,2022-02-21 15:28:28,2022-02-21 15:28:29,0.993s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-02-21 15:28:29,2022-02-21 15:28:34,5.014s,PASSED
,,,,,,,
Test Cases/Branch_Manager/2. History - SurveyKendaraan,,,,2022-02-21 15:28:34,2022-02-21 15:30:34,1m - 59.668s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-02-21 15:28:35,2022-02-21 15:28:35,0.001s,PASSED
