Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1.1 Login - History,,,,2022-02-21 15:31:04,2022-02-21 15:33:27,2m - 23.368s,PASSED
,,,,,,,
Test Cases/DD/1. Login,,,,2022-02-21 15:31:04,2022-02-21 15:31:46,41.841s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-02-21 15:31:05,2022-02-21 15:31:05,0.006s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-02-21 15:31:05,2022-02-21 15:31:26,20.869s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - NIP""), findTestData(""Deputi_Direktur"").getObjectValue(""Username"", 1), 0)",,,,2022-02-21 15:31:26,2022-02-21 15:31:30,3.546s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - Password""), findTestData(""Deputi_Direktur"").getObjectValue(""Pass"", 1), 0)",,,,2022-02-21 15:31:30,2022-02-21 15:31:32,1.966s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.CheckBox - Remember Me""), 0)",,,,2022-02-21 15:31:32,2022-02-21 15:31:33,1.419s,PASSED
hideKeyboard(),,,,2022-02-21 15:31:33,2022-02-21 15:31:36,3.484s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 15:31:36,2022-02-21 15:31:39,3.062s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Login 3.1"" + "".png"", STOP_ON_FAILURE)",,,,2022-02-21 15:31:39,2022-02-21 15:31:42,2.735s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,2022-02-21 15:31:42,2022-02-21 15:31:43,0.873s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 15:31:43,2022-02-21 15:31:46,3.006s,PASSED
,,,,,,,
Test Cases/DD/2. History - SurveyKendaraan,,,,2022-02-21 15:31:46,2022-02-21 15:33:27,1m - 40.931s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-02-21 15:31:47,2022-02-21 15:31:47,0.001s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-02-21 15:31:47,2022-02-21 15:31:58,10.820s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 15:31:58,2022-02-21 15:32:01,3.004s,PASSED
