Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1.3 Login - Submit,,,,2022-02-21 15:46:20,2022-02-21 15:49:35,3m - 15.202s,PASSED
,,,,,,,
Test Cases/Branch_Manager/1. Login,,,,2022-02-21 15:46:20,2022-02-21 15:47:03,43.085s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-02-21 15:46:21,2022-02-21 15:46:21,0.017s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-02-21 15:46:21,2022-02-21 15:46:42,20.361s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - NIP""), findTestData(""Branch_Manager"").getObjectValue(""Username"", 2), 0)",,,,2022-02-21 15:46:42,2022-02-21 15:46:44,2.888s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - Password""), findTestData(""Branch_Manager"").getObjectValue(""Pass"", 2), 0)",,,,2022-02-21 15:46:44,2022-02-21 15:46:47,2.438s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.CheckBox - Remember Me""), 0)",,,,2022-02-21 15:46:47,2022-02-21 15:46:48,1.085s,PASSED
hideKeyboard(),,,,2022-02-21 15:46:48,2022-02-21 15:46:52,3.561s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 15:46:52,2022-02-21 15:46:55,3.064s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""login 1.1"" + "".png"", STOP_ON_FAILURE)",,,,2022-02-21 15:46:55,2022-02-21 15:46:57,2.704s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,2022-02-21 15:46:57,2022-02-21 15:46:58,0.921s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-02-21 15:46:58,2022-02-21 15:47:03,5.020s,PASSED
,,,,,,,
Test Cases/Branch_Manager/5. Submit,,,,2022-02-21 15:47:03,2022-02-21 15:49:35,2m - 31.503s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-02-21 15:47:04,2022-02-21 15:47:04,0.002s,PASSED
"startExistingApplication(""com.bcaf.mobilesurvey"")",,,,2022-02-21 15:47:04,2022-02-21 15:47:16,11.945s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 15:47:16,2022-02-21 15:47:19,3.004s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Survey Kendaraan 5.1"" + "".png"", STOP_ON_FAILURE)",,,,2022-02-21 15:47:19,2022-02-21 15:47:21,1.982s,PASSED
"tap(findTestObject(""Object Repository/Submit/android.widget.LinearLayout""), 0)",,,,2022-02-21 15:47:21,2022-02-21 15:47:22,1.101s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-02-21 15:47:22,2022-02-21 15:47:25,3.010s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathmobilesurvey + ""Survey Kendaraan 5.2"" + "".png"", STOP_ON_FAILURE)",,,,2022-02-21 15:47:25,2022-02-21 15:47:27,1.982s,PASSED
"tap(findTestObject(""Object Repository/Submit/android.widget.LinearLayout (1)""), 0)",,,,2022-02-21 15:47:27,2022-02-21 15:47:28,0.786s,PASSED
"setText(findTestObject(""Object Repository/Submit/android.widget.EditText - No Polisi""), findTestData(""No_Polisi"").getObjectValue(""No_Polisi"", 6), 0)",,,,2022-02-21 15:47:28,2022-02-21 15:47:31,2.880s,PASSED
